time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),winddirection_10m_dominant (°),wind_gusts_10m_mean (km/h),wind_speed_10m_mean (km/h),wind_gusts_10m_min (km/h),wind_speed_10m_min (km/h),relative_humidity_2m_mean (%),relative_humidity_2m_max (%),relative_humidity_2m_min (%),sunshine_duration (s)
2020-01-01,-1.4,1.0,-4.4,-6.8,-4.9,-8.7,0.20,0.00,0.14,2.0,22.2,41.4,252,252,31.7,16.6,14.4,6.9,67,78,50,9334.95
2020-01-02,3.6,8.3,-1.6,-1.1,2.6,-6.8,0.00,0.00,0.00,0.0,22.6,42.8,217,217,30.0,16.1,20.5,10.5,68,81,49,25522.97
2020-01-03,3.8,8.4,-0.7,0.5,4.6,-4.2,0.00,0.00,0.00,0.0,14.6,29.2,266,266,17.5,9.2,10.8,6.1,85,95,66,16050.96
2020-01-04,0.9,3.0,-0.4,-3.0,-1.2,-4.0,1.90,0.00,1.33,6.0,12.9,23.0,330,330,17.3,8.8,9.4,4.0,74,90,59,5190.75
2020-01-05,-0.2,2.0,-1.6,-4.8,-2.8,-6.5,2.80,0.00,1.96,5.0,18.3,33.8,266,266,24.0,12.3,15.1,8.0,71,91,56,7100.75
2020-01-06,0.9,2.4,-0.9,-4.8,-3.5,-6.1,0.70,0.10,0.49,5.0,32.1,60.5,259,259,38.7,20.3,24.1,12.6,68,88,49,22447.14
2020-01-07,-0.4,4.5,-4.4,-4.8,0.4,-8.3,0.00,0.00,0.00,0.0,16.8,30.6,225,225,20.6,10.7,10.1,1.6,69,83,55,16560.46
2020-01-08,-4.3,0.3,-9.1,-10.4,-4.8,-14.5,0.70,0.00,0.49,7.0,28.5,55.1,293,293,37.9,19.4,21.2,11.9,62,81,44,20714.45
2020-01-09,-6.3,-1.6,-11.5,-11.6,-5.5,-16.2,0.00,0.00,0.00,0.0,21.6,42.1,118,118,25.0,12.5,7.2,2.2,60,73,53,11929.52
2020-01-10,4.9,7.7,-0.5,1.0,4.0,-4.9,0.40,0.30,0.07,4.0,29.8,53.3,218,218,27.3,14.7,4.3,2.5,82,99,52,2785.10
